Adam & Eve			Wenn Die Sonne Erwacht In Den Bergen
Brunner & Brunner		Wie Der Wind Wehst Du Mir Ins Gesicht
Bush, Dirk			Du Bist Keine Mona Lisa
Bush, Dirk			Du Kennst Mich
Bush, Dirk			Ich Zieh Den Bauch Nicht Mehr Ein
Calimeros			Ich Vertraue Dir Weil Ich Dich Liebe
Candelight Sister		Eine Weisse Hochzeitkutsche
Carnaval Muziek			Aber Heute Sind Wir Fidel
Carnaval Muziek			Auf Die Baume Ihr Affen
Carnaval Muziek			Bier Und Appelkorn (Brow Girl In The Ring)
Carnaval Muziek			Carnaval Medley
Carnaval Muziek			Faschings Medley
Carnaval Muziek			Karnaval Am Rhein (Medley)
Carnaval Muziek			Kornblumenblau
Carnaval Muziek			Ramba Mix (Medley)
Carnaval Muziek			Rheinische Lieder Shone Frau'n Bei Weinn
Carol, Rene			Rote Rosen Rote Lippen Roter Wein
Carrell, Rudi			Wann Wird's Mal Wieder Richtig Sommer
Christian, Dennie		Festival Der Liebe
Christie, Tony			I Did What I Did For Maria
Christie, Tony			One Dance With Us
Christie, Tony			Some Broken Hearts Never Mend
Christie, Tony			Tony Christie Medley
Cindy & Bert			Fahrende Musikanten
Cindy & Bert			Spaniens Gitarren
Clayderman, Richard		As Time Goes By
Clayderman, Richard		Ballade Pour Adeline
Clayderman, Richard		Greensleeves
Clayderman, Richard		L'Amour Est Blue (Love Is Blue)
Clayderman, Richard		L'Enfant Et La Mer
Clayderman, Richard		Only You
Clayderman, Richard		Putain Du Temp
Clayderman, Richard		Strangers In The Night
Clayderman, Richard		Yesterday
Cluver, Bernd			Das Mitt Dir Konnte Gehen
Cluver, Bernd			Der Junge Mit Der Mundharmonika
Cluver, Bernd			Ein Madchen Wie Du
Cluver, Bernd			Hatt Ich Die Wahl
Cluver, Bernd			Sag Noch Einmal Ich Liebe Dich
Coczian, Johanna Von		Das Bisschen Haushalt Sagt Mein Mann
Cordalis, Costa			Am Strand Von Griechenland
Cordalis, Costa			Anita
Cordalis, Costa			Asche Und Glut
Cordalis, Costa			Du Hast Ja Tranen In Den Augen
Cordalis, Costa			Im Zeichen Der Venus
Cordalis, Costa			Shangri La
Curucas				Bleu Bleu Night Of Hawaii
Dassin, Joe			Dieser Sanger Braught Nur Ein Chanson
Dassin, Joe			Les Champs Elysees
Dietrich, Marlene		Sag Mir Wo Die Blumen Sind
Ebstein, Katja			Es War Einmal Ein Jager
Edenharder, Wolfgang		Goenn' Dir Doch Mal Was Gutes
Fernando Express		Capitano
Fernando Express		Der Tag An Dem Die Sonne Wiederkam
Fernando Express		Die Versunkene Stadt
Fernando Express		Mit Dem Albatros Nach Suden
Fernando Express		Weisse Taube Sehnsucht
Fischer Chore, Die		Schwabisches Medley
Flippers, Die			Aber Dich Gibt's Nur Einmal Fur Mich
Flippers, Die			Am Anfang Einer Liebe
Flippers, Die			Angelina
Flippers, Die			Are You Lonesome Tonight
Flippers, Die			Arizona Arizona
Flippers, Die			Arrividerci Ciao Amor
Flippers, Die			Arrividerci Maria
Flippers, Die			Auf Rote Rosen Fallen Tranen
Flippers, Die			Aus Liebe Weint Man Nicht
Flippers, Die			Der Letzte Bolero
Flippers, Die			Der Loewe Schlaft Heut' Nacht
Flippers, Die			Der Stern Von San Fernando
Flippers, Die			Die Kleine Bianca
Flippers, Die			Die Rote Sonne Von Barbados
Flippers, Die			Die Schonsten Traume
Flippers, Die			Ein Herz Auf Reisen
Flippers, Die			Einen Sommer Auf Mallorca
Flippers, Die			Elisa
Flippers, Die			Engel Von Lago Maggiore
Flippers, Die			Flippers Medley Nr. 01
Flippers, Die			Flippers Medley Nr. 02
Flippers, Die			Flippers Medley Nr. 03
Flippers, Die			Flippers Medley Nr. 04
Flippers, Die			Flippers Medley Nr. 05
Flippers, Die			Flippers Medley Nr. 06
Flippers, Die			Flippers Medley Nr. 07
Flippers, Die			Flippers Medley Nr. 08
Flippers, Die			Flippers Medley Nr. 09
Flippers, Die			Flippers Medley Nr. 10
Flippers, Die			Flippers Medley Nr. 11
Flippers, Die			Flippers Medley Nr. 12
Flippers, Die			Flippers Medley Nr. 13
Flippers, Die			Goodbye Eloisa
Flippers, Die			Goodbye Maria
Flippers, Die			Hab Ich Dich Verloren
Flippers, Die			Hasta La Vista Maria Theresa
Flippers, Die			Herzen Brauchen Zartlichkeit
Flippers, Die			Holy Holiday
Flippers, Die			I Hob Di Gern
Flippers, Die			Im Heisse Sand Von Rhodos
Flippers, Die			Je T'Aime Heisst Ich Liebe Dich
Flippers, Die			Lago Maggiore Bei Nacht
Flippers, Die			Liebes Kummer Lohnt Sich Nicht
Flippers, Die			Lotusblume
Flippers, Die			Madchen Von Capri
Flippers, Die			Mexican Lady
Flippers, Die			Mitternacht In Trinidad
Flippers, Die			Mona Lisa
Flippers, Die			Monja
Flippers, Die			Moskau Im Regen
Flippers, Die			Nachts Am Wolgastrand
Flippers, Die			Nur Wer Die Sensucht Kennt
Flippers, Die			Rhodos
Flippers, Die			Rote Rosen Schenk Ich Dir
Flippers, Die			Rote Sonne Weites Land
Flippers, Die			San Tropez
Flippers, Die			Santa Maria Goodbye
Flippers, Die			Santo Domingo
Flippers, Die			Sayonara
Flippers, Die			Schuld War Nur Die Sommernacht Auf Hawaii
Flippers, Die			Sha La Lee I Love You
Flippers, Die			Sieben Tage
Flippers, Die			Sommer Sonne Cabrio
Flippers, Die			Sommersprossen
Flippers, Die			Sommertraume
Flippers, Die			Sommerwind
Flippers, Die			St. Tropez
Flippers, Die			Summer Summer Lady
Flippers, Die			Tanzen Untern Regenbogen
Flippers, Die			Weine Nicht Kleine Eva
Flippers, Die			Weisse Segel Im Wind
Flippers, Die			Weisst Wie Es Ist
Flippers, Die			Weit Weit Weg Von Hong Kong
Flippers, Die			Wenn Die Wilden Kirschen Bluh'n
Flippers, Die			Wenn In Petersburg Die Weissen Rosen Bluh'n
Flippers, Die			Wie Ein Engel In Der Nacht
Flippers, Die			Wir Stehen Am Anfang
Frey, Petra			Fur Den Frieden Der Welt
Frey, Petra			Prinzessin Blue
Froboes, Connie			Connie Froboes Medley
Gabriel, Gunther		Er Ist Ein Kerl Und Fahrt Ein 30 Ton Diesel
Gabriel, Gunther		Hey Boss Ich Brauch Mehr Geld
Gabriel, Gunther		Truck Stop Tom Astor Und Ich
Gildo, Rex			Das Beste Kommt Erst Noch
Gildo, Rex			Fiesta Mexicana
Gildo, Rex			Margarita
Gildo, Rex			Mexicanische Nacht
Gitte				So Schon Kann Doch Kein Mann Sein
Gitti & Erica			Heidi
Goisern, Hubert Von		Oben Und Unten
Golden Sunshine			Komm Ein Bisscher Naher
Golden Sunshine			Monica
Goombay Dance Band		Sun Of Jamaica
Goombay Dance Band		Von Hawaii Bis Thome (La Paloma)
Graf, Elfi			Am Schonsten Ist Es Zu Hause
Gralzbar			Schwabeland Ade
Haak, Nico			Unter Dem Schottenrock Ist Gar Nichts
Haller, Hanne			Eine Wahnsinss Love Story
Haller, Hanne			Mein Gott Was Manner Alles Tun
Haller, Hanne			Mein Lieber Mann
Haller, Hanne			Schatz Ich Will Ja Nicht Meckern
Harvey, Lilian			Das Gibt's Nur Einmal
Heino				Berglieder Medley
Heino				Blau Bluht Der Enzian
Heino				Gluck Auf Der Steiger Kommt
Heino				Heimat Medley
Heino				Heino Medley Nr. 01
Heino				Heino Medley Nr. 02
Heino				Im Wald Im Grunen Wald
Heino				Jager Medley
Heino				Karamba Karacho Ein Whisky
Heino				Polenmadchen (In Einem Polenstadtchen)
Heino				Rolling Home
Heino				Seemanslieder Potpourri
Heintje				Ein Bisschen Was Vom Gluck
Heintje				Heidschi Bumbeidschi
Heintje				Mamatshi
Herb, Jaques			Manuela
Hertel, Stefanie		Blas Mir Mal Die Wolken Fort
Hertel, Stefanie		Ein Lied Fur Jeden Sonnenstrahl
Hertel, Stefanie		Nicht Jeder Kann Ein Mozart Sein
Hertel, Stefanie		So A Stuckerl Heile Welt
Hertel, Stefanie		Tausend Kleine Himmel
