Andre, Peter			Mysterious Girl
Onbekende (Duitse Pop)		03Silber
Onbekende (Duitse Pop)		03Spiegl
Onbekende (Duitse Pop)		03Vergeb
Onbekende (Duitse Pop)		04Fuermi
Onbekende (Duitse Pop)		04Wahnsi
Onbekende (Duitse Pop)		05Fassmi
Onbekende (Duitse Pop)		05Legnic
Onbekende (Duitse Pop)		05Niemal
Onbekende (Duitse Pop)		06Adieu
Onbekende (Duitse Pop)		06Wahrel
Onbekende (Duitse Pop)		07Engel
Onbekende (Duitse Pop)		07Stehau
Onbekende (Duitse Pop)		08Derdoc
Onbekende (Duitse Pop)		08Ganzun
Onbekende (Duitse Pop)		08Herzro
Onbekende (Duitse Pop)		08Ichlie
Onbekende (Duitse Pop)		08Kuessd
Onbekende (Duitse Pop)		08Sowies
Onbekende (Duitse Pop)		08Spass
Onbekende (Duitse Pop)		09Derhim
Onbekende (Duitse Pop)		09Kleine
Onbekende (Duitse Pop)		09Mariec
Onbekende (Duitse Pop)		09Schoen
Onbekende (Duitse Pop)		0Dubiste
Onbekende (Duitse Pop)		0Gibtes
Onbekende (Duitse Pop)		0Maenne
Onbekende (Duitse Pop)		0Overgebe
Onbekende (Duitse Pop)		0Sektsel
Onbekende (Duitse Pop)		Alles Oder Nichts
Onbekende (Duitse Pop)		Da Wo Die Abenteuer Sind
Onbekende (Duitse Pop)		Das Geht Nie
Onbekende (Duitse Pop)		Ende Welt
Onbekende (Duitse Pop)		Her Mit Meinen Hennen
Onbekende (Duitse Pop)		Hor Gut Zu
Onbekende (Duitse Pop)		Ich Wette
Onbekende (Duitse Pop)		Na Sowas
Onbekende (Duitse Pop)		Pfuati Gott
Onbekende (Duitse Pop)		Sternenhimmel
Onbekende (Duitse Pop)		Wia Woa Des
Peters, Ingrid			Afrika
Petry, Wolfgang			Bronze, Silber Und Gold
Petry, Wolfgang			Den Eines Tages Vielleicht
Petry, Wolfgang			Ich Will Noch Mehr
Petry, Wolfgang			Sehnsucht Nach Dir
Petry, Wolfgang			Sieben Tage, Sieben Nachte
Petry, Wolfgang			Sommer In Der Stadt
Petry, Wolfgang			Verlieben, Verloren, Vergessen
Petry, Wolfgang			Wieso Und Weshalb
Petry, Wolfgang			Wolfgang Petry Hitmix (Medley)
Prinzen, Die			Alles Mit'm Mund
Prinzen, Die			Alles Nur Geklaut
Prinzen, Die			Du Musst Ein Schwein Sein
Prinzen, Die			Mann Im Mond
Prinzen, Die			Mein Fahrad
Prinzen, Die			Uberall
Pur				Abenteuerland
Pur				Dass Es Dir Leid Tut
Pur				Ein Graue's Haar
Pur				Ich Lieb' Dich (Egal Wie Das Klingt)
Pur				Indianer
Pur				Lena
Pur				Neue Brucken
Pur				Sie Sieht Die Sonne
Purple Schulz			Wenn Du Runterfallst
Raab, Stefan & Die Bekloppten	Boorti Boorti Vogts
Raab, Stefan & Die Bekloppten	Hier Kommt Die Maus
Reichel, Achim			Aloha Heja He
Reichel, Achim			Bingo
Reim, Matthias			Ich Hab Getraumt Van Dir
Reim, Matthias			Ich Hab Mich So Auf Dich Gefreut
Reim, Matthias			OK
Reim, Matthias			Verdammt Ich Liebe Dich
Reim, Matthias			Warum
Rendevouz			Fur Immer Und Ewig
Rosenberg, Marianne		Er Gehort Zu Mir
Rosenberg, Marianne		Es Wird Niemehr So Wie Es was
Rosenberg, Marianne		Frage Niemals
Rosenberg, Marianne		Geh Vorbei
Rosenberg, Marianne		Ich Bin Wie Du
Rosenberg, Marianne		Ich Denk An Dich
Rosenberg, Marianne		Ich Hab Gedacht Es Ist Vorbei
Rosenberg, Marianne		Tschabo
Rosenberg, Marianne		Wenn Ich Dich Betroge
Rudelheim Hartreim Projekt	Hoha Schnella Weita
Ruhman, Heinz & Oliver Grim	Unser Lied La-Le-Lu
Sandmann Dummies		Ach Du Meine Nase
Sandra				Everlasting Love
Sandra				Heart To Heart
Sandra				Heaven Can Wait
Sandra				One More Night
Schwester S			Ja Klar
Scorpions			Send Me An Angel
Scorpions			Still Loving You
Scorpions			White Dove
Scorpions			Wind Of Change
Scorpions			You And I
Smiley				Lying Back
Smiley		 		Urlaub Machen
Spider Murphy Gang		FFB
Spider Murphy Gang		Sch-bum ('s Leb'en Is Wiar A Traum)
Spider Murphy Gang		Schickeria
Spider Murphy Gang		Skandal Im Sperrbezirk
Spier, Bernd			Pretty Belinda
Straker Band, Nick		A Walk In The Park
Sturzflug, Geier		Bruttosozialprodukt
Tic Tac Toe			Funky
Tic Tac Toe			Ich Find Dich Scheisse
Torfrock			Beinhart
Toten Hosen, Die		Alles Aus Liebe
Toten Hosen, Die		Bonnie And Clyde
Toten Hosen, Die		Kauf Mich
Toten Hosen, Die		Paradies
Toten Hosen, Die		Zehn Kleine Jagermeister
Valerie's Garten		Nachstes Mai Am Ende Der Welt
Valerie's Garten		Wenn Du Willst
Waggershausen, Stefan & Alice	So Nah Am Feuer (Close To The Fire)
Werding, Juliane		Alles Oke
Werding, Juliane		Am Tag Als Conny Kramer Starb
Werding, Juliane		Du Schafft Es
Werding, Juliane		Engel Wie Du
Werding, Juliane		Sie Weiss Was Sie Will
Werding, Juliane		Stimmen Im Wind
Werner, Pe			Ich Will Mein Geld Zuruck
Werner, Pe			Kribbeln Im Bauch
Westernhagen, Marius Mueller	Es Geht Mich Gut
Westernhagen, Marius Mueller	Freiheit 
Westernhagen, Marius Mueller	Keine Zeit
Westernhagen, Marius Mueller	Mit Pfefferminz Bin Ich Dein Prinz
Westernhagen, Marius Mueller	Rosi
Westernhagen, Marius Mueller	Schweige Ist Feige
Westernhagen, Marius Mueller	Sexy
Westernhagen, Marius Mueller	Tanz Mit Dem Teufel
Westernhagen, Marius Mueller	Weil Ich Dich Liebe
Westernhagen, Marius Mueller	Willenlosss
Zander, Frank			Hier Kommt Kurt
Zander, Frank			Oh Suzie
