999				Technotrib
Onbekende (House, Dance)	Tutatta!
Onbekende (House, Dance)	Yamonaya Samoto
Outhere Brothers, The		Boom Boom Boom
Outhere Brothers, The		Don't Stop (Wiggle Wiggle)
Party Animals			Hava Naquila
Party Animals			Have You Ever Been Mellow
Perplexer			Acid Folk
Perplexer			Da Capo
Pharao				I Show You Secrets
Pharao				There Is A Star
President, Mr.			Coco Jamboo
President, Mr.			I Give You My Heart
President, Mr.			I'll Follow The Sun
President, Mr.			Up 'N Away
Prodigy, The			No Good
Quad City DJ's			C'mon 'N Ride It
Re-Make				Oh What A Night (December 1963)
Real McCoy			Another Night
Real McCoy			It's On You
Real McCoy			Love And Devotion
Real McCoy			Runaway
Rednex				Cotton Eye Joe
Rednex				Old Pop In An Oak
Rednex				Wild 'N Free
Rednex				Wish You Were Here
Reel 2 Real			I Like To Move It
RMB				Experience (Follow Me)
Robin S.			Luv 4 Luv (Extended Version)
Robin S.			Luv 4 Luv (Radio Version)
Ronnie				De Clown
Rozalla 			Everybody's Free (To Feel Good)
Sandmann's Dummies		Der Fuchs Geht Durch Dem Wald
Sar, MC & The Real McCoy	Another Night
Scatman, John			Scatman
Scatman, John			Scatman's World
Schneider, Luke			Last Song
Scooter				Back In The U.K.
Scooter				Endless Summer
Scooter				Friends
Scooter				Hyper Hyper
Scooter				Move Your Ass
Scooter				Rebell Yell
Shamen, The			Boss Drum
Shamen, The			Ebeneezer Goode
Shamen, The			Love Sex Intelligence
Shamen, The			Phorever People
Sheila & The Black Devotion	Singing In The Rain
Sin & Sebastian			Shut Up (And Sleep With Me)
Sjonnies, De			Dans Je Rot (Mega Remix)
Slipstream			Computer Love
Snap				Do You See The Light
Snap				Ex Terminate!
Snap				Mary Had A Little Boy
Snap				Rhythm Is A Dancer
Snap				The First The Last Eternity
Snap				Welcome To Tomorrow
Snoop Doggy Dogg		Murder Was The Case
Snoop Doggy Dogg		Tha Shiznit!
Spice Girls			Lady's Night Out
Spice Girls			Wanna Be
Star Wash			Disco Fans
T-Ma				Mutter Der Mann Mit Dem Koks Ist Da
T.N.N.				La Cucamarcha
Tag Team			Whoomp! (There It Is)
Technohead			I Wanna Be Hippy
Technotronic			Move This
Technotronic			Pump Up The Jam
Technotronic			Technotribe 999
Twenty 4 Seven			Is It Love
Twenty 4 Seven			Take Me Away
U96				Club Bizarre
U96				Das Boot
U96				Heaven
U96				Inside Your Dreams
U96				Love Religion
U96				Night In Motion
Urban Cookie Collective		The Key The Secret
Waters, Crystal			100% Pure Love
Waters, Crystal			Gipsy Woman
Waters, Crystal			Talking With Myself
Westbam				Wizard Of The Sonic
Whigfield			Another Day
Whigfield			Big Time
Whigfield			Saturday Night
Whigfield			Think Of You
XXL P Cool Man Steiner		It's Cool Man
